MemberName,Message
AbuIlyaas,"Yeah, I also use the 'simple' interface but I still can't see the underline function."
AbuIlyaas,Is that George Bush?
AbuIlyaas,"Are we talking a 100% Muslim office here?  Some of my non-Muslim colleagues noted and commented on the hadith that used to appear on the front page here, while I've been &quot;working&quot; on my computer.  &quot;The believer does not slander, curse, or speak in an obscene or foul manner.&quot;"
AbuIlyaas,Quote:     My friend Abdullah is a pious old soul And indeed a religious man is he When he starts his weekly Tahajjud at 2.55 He抯 all done and in bed by three     Number 40  here .
AbuIlyaas,Shaykh Isam has answered other questions on the topic of shares on this board:   Doubts on shares of non-Muslim mining company and family business that deals in riba   Investing in Stocks - Companies Income Usury   Questions on modern day riba/finance
AbuIlyaas,Two Jordan editors are arrested
AbuIlyaas,Quote:     Originally Posted by  NaseehaMan   Bump that y'all. Bugs Bunny Arts is where it's at yo'. It involves outsmarting your enemies.     When it comes to cartoons you seem to have forgotten  the real master .
AbuIlyaas,Here's a link to an article which records some of the historic interaction (in the ring) between Muay Thai and Kung Fu.   http://crane.50megs.com/index6d.htm
AbuIlyaas,"Maybe if you wait until it's up on Upon Sunnah, Abu Umar tends to shrink the file size before he uploads it to their library. So it might be quicker then. I just record and boost the volume, I don't mess around with file size."
AbuIlyaas,"In addition to that over usage of sorry I picked up another form of misapplication, from my non-English wife. Her family appears to use &quot;Sorry&quot; as short for &quot;I feel sorry for you.&quot;  So for instance one might say, &quot;That man's dog just mauled my leg off!&quot; Where the reply would be &quot;Sorry&quot; despite having no ownership over said dog.  So I spent the first couple of years of married life regularly clarifying to various family members who'd say &quot;sorry&quot; after I'd say &quot;I'm tired&quot; or one of my children would fall over and hurt themselves, &quot;No need to apologise, it wasn't your fault.&quot;  I eventually gave up and joined in and now it's ingrained in me, to the extent that I apply it at work without even thinking and now people look at me bemused and ask, &quot;What you saying sorry for?&quot;"
AbuIlyaas,"wa 'alaykum salam wa rahmatullah  Ok, sorry but I don't know of a jeweller in London that does that.    Quote:     Originally Posted by  Umm Luay   However, the problem is that I have gold, some of which is 22 carat, or 21, or 9, and also some white gold - so, it is not all pure gold.    (Additionally, I have things like rings or necklaces which have stones or gems etc., which will contribute to the weight.)     I think this is the situation for most women. I'm curious though, have you been given a fatwa that suggests you need to distinguish between the carats of the various items of jewellery when you're weighing them?   I'm just asking because I recall when I discussed the issue of jewellery with a mixed content (i.e. I was asking about a watch which wasn't completely gold) with the brother Abu Hanifah (he sometimes give fatwa on the Islam Channel and who, incidentally, holds that there is no zakah on jewellery) many years ago, I remember him telling me to just estimate it."
AbuIlyaas,"Quote:     Originally Posted by  Rose15   buy bread rolls ?????, didnt u have school dinners? Wernt u allowed to go for seconds?     Yeah there were school dinners but I didn't have enough money left over, after having spent it in the sweet shop, to be able to buy anything substantial to eat.   I shall overlook the 1950's comment."
AbuIlyaas,Ta-da!    [Very definately in English. Cost me ?5 from Dar al-Taqwa]
AbuIlyaas,"I really should be doing something else   but ...    I tried searching about rep points and I got some info from the  vBulletin manual :    ? Adminstrators can have reputation power separate from their calculated score. Which I took to mean there isn't the  'you must spread some reputation around before giving it to fulaan again ' restriction on them, that others have.    ?  Things that can affect your reputation  power  (i.e. to give/take rep) include: Your registration date; your post count; your number of reputation points; restrictions placed by admins such as having minimum numbers of reputation points or post counts before you can give out rep; daily restrictions on the amount of rep passed out; and restriction on user spread, i.e. there is a set amount of users you must spread rep to before you can re-rep someone   [I think this is set too high on this site because I can't re-rep anyone at the moment until I pick someone new to rep and I don't feel like rep-ing someone new yet]      Then from other sites I learnt that:    ?  Some sites allow you to 'steal' others' points. ???     ?  There are various hacks you can do like to make user's rep-point total be displayed publically. And on  this site  they made it so that when someone gives a message with a rep rating, then that message is also displayed publically in the relevant post, as well as who said it. This could prove interesting, especially if, as this thread suggests, people are using the system as means to private message!    Phew! Now, who's going to be the first one to tell me to get a life?"
AbuIlyaas,"I've scanned it for you and will,  in shaa' Allaah , upload it to the site when I get to work tonight; as it takes a lot less time to upload from there."
AbuIlyaas,"Quote:     Originally Posted by  UmmAbdulMalikStorm   How can u prefer the matrix to that?! These are fight scenes and a half..they even make the flying look real!     Yeah, but the whole thing is it's  not  real. Keanu kicks like he's wet himself (I saw documentary on Matrix) which is why in his scenes they tend leave the kicking to the other actors and he tends to do more arm work. I'd much rather see a real fight.  I found the TKO I was talking about before. It's David Loiseau Vs. Charles McCarthy. It happens at 2:10 of the second round.  I found round 2 online here  http://www.youtube.com/w/David-Loise...?v=ENzdQhTwiwo   It's playing slow at the moment, hopefully it'll pick up.    Quote:     We watched kung fu hustle expecting some of that but it just turned into a joke. Still a cool film.    That was one  weird  film!"
AbuIlyaas,Quote:     Originally Posted by  Ibn El-Sheikh   He ...     Posts like this make me miss giving out rep points ( it would've been a green one ).
AbuIlyaas,"Quote:     Originally Posted by  umunshey     aight  ...  aight  ....sos im  chillin  in verona when my   homie   busts out wiht..'  yo   romeo....check out that juliet in the window' problem is like juliets   peeps   are east coast rappers and my posses representing WEST SIIIIIIIIEEEDE....just like my boys tupac and biggie...know wut im sayin???     In the interests of clarity, I have inserted some links into the above quote to further a better understanding amongst those of us who find themselves somewhat bemused, or lets say, challenged, in their slang usage -   word!"
AbuIlyaas,"Quote:     Originally Posted by  Prof   Does anybody know of any evidence for the khateeb to make a dua at the end of the second khutbah?     I'm attaching an extract on this question taken from Zarabozo's, the Friday Prayer. You may already have read this but on the off chance that you haven't I thought to post it.    A summary of what he says is that there isn't strong evidence for it and it should be deemed as something permissible rather than something recommended to do,  Allaahu A'lam ."
AbuIlyaas,"Masterfoods the company behind Snickers, Mars bars, Bounty bars, etc. has decided to change their rennet ingredient over to an animal base.  They'd previously been producing vegetarian compliant chocolate bars but alas, no more.   http://news.bbc.co.uk/1/hi/business/6653175.stm   Anyone liable to be thrown into a deep depression by this news can contact them here:   http://www.masterfoodsconsumercare.co.uk/contact_us.asp   The Vegetarian Society is also peeved at the decision.   http://www.vegsoc.org/news/2007/mars.html"
AbuIlyaas,"wa 'alaykum salam wa rahmatullahi wa barakatuh ,   Jazakum Allahu khayran  Asim for your penetrating words. Our brother Talha touched and affected many of us here and elsewhere, and he is certainly sorely missed.   Even in his present circumstances I feel sure that the strength of his character will shine brightly through and continue to be an example to us of steadfastness and unwavering commitment to seeking Allah's pleasure.  I ask Allah (' azza wa jall ) that He bring from these trials much benefits and that He raise from our ranks many more defenders of the  oppressed, so that through returning to our Lord, we are able to lift the many wrongs that we witness daily inflicted upon our Ummah."
AbuIlyaas,"Maa shaa' Allaah , there's lots here for me to check out. I'll give O2 a ring next week to see if they'll match some of this,  in shaa' Allaah .   Jazaakum Allaahu khairaa."
AbuIlyaas,Islam Today also had a brief look at this topic  here .
AbuIlyaas,"I haven't bought any for a while but  al-hidaayah  in Birmingham are stocking a lot of the US recorded lectures like the Emanrush and al-Huda stuff.   Ahlussunnah  have an exclusive set of recordings.  Other than that I like what  Qadimoon  are doing, remastering a lot of cassette lectures onto CDs that may have otherwise been lost."
AbuIlyaas,Please be advised that Shaykh Isam doesn't read any posts outside of the  &quot;Ask the Scholar&quot;  section and so he won't have seen your question here.  You are most welcome to ask it as a question in that section if you so wish.
AbuIlyaas,Quote:     Originally Posted by  Prof   We need to become sufis.       I think some of us are woolly enough as it is.
AbuIlyaas,"Quote:     Originally Posted by  al-Dandani   Abu Ilyaas, check  this  out.     That's perfect,  jazaaka Allaahu khairan !"
AbuIlyaas,"Quote:     Originally Posted by  Catalyst   oh yeh, as you've mentioned LOC, how many modules do you do in a year (im trying to work out how much it'll cost me) ?     It depends on how much free time/money you've got. Next year will be my sixth year and I've pretty much dropped down to one module a term because work and family commitments don't allow more.    Quote:    Im joining LOC  in shaa' Allaah   in September, I emailed them but didn't get a response.    That's not uncommon. If you have a question you are really better telephoning them.    Quote:    Also, say you want to stop in the middle of the year to take a break, or can't hack it because of other commitments, can you take a pause (i.e is it flexible)?    I personally have always done at least one module a term. But from speaking to the guys in the admin at LOC, I know people do study for a couple of terms and then stop and later re-start with them.   It might depend on what you initially say you want to go for, i.e. the degree or just some random study. You'd better check with them first.   But it is better to not start a module and halfway through the term decide you want to postpone it, as it can restrict the maximum grade you can get for that module."
AbuIlyaas,so-and-so the son of so-and-so
AbuIlyaas,"Quote:     Originally Posted by  Catalyst   yeah but then the salaaah would be come invalid straight away? Has he got something to do with taking a nadhr?     Yeah, that's only thing that seems to makes any sense, that he has made some bizarre oath."
AbuIlyaas,"Jazakum Allahu khayran, I've successfully downloaded it!"
AbuIlyaas,"There's loads of new phones coming out over the summer insha' Allah. The Sony Ericsson K800i will be having a 3.2 megapixel camera, smooth! Even the W810i is looking good.      Quote:     Originally Posted by  AbuZakariyya   actually I was just recently talking to a sheikh who bought a bluetooth headset specifically to listen to lectures while no one really knows he is listening to them. I thought that was a pretty cool idea....he listed quite a few advantages of using them. Actually, once you get used to those headsets, trust me, you'll forget about salesmen       But aren't bluetooth head sets single ear-ed? I'd have Shaykh Anwar in one ear and some random bloke telling his mate how drunk he was last Saturday in the other.   I'm actually finding it difficult to hear some lectures when I'm out and about. The one I'm listening to at the moment is too quiet to hear clearly when I'm on the Central line but I if strain I can hear it on other lines. So I think I need to look at improving the sound I'm getting somehow."
AbuIlyaas,"Quote:     Originally Posted by  Abu Dujanah   I've noticed that Eastern fighters are more patient and endure more pain than their Western counterparts. Sakuraba comes to mind.     Sakuraba is one of my all time favourite fighters (in the days before he met Wanderlei). Actually, Sak verses Royler was an interesting example of pain endurance, Sakuraba had Royler's shoulder popping out with the Kimura and Royler is still refusing to tap, and I won't mention the 90 minute punishment of Royce.  It's also interesting to note how Pride will let a fight continue long after a UFC ref would have stopped it. Again, suggesting that they are more culturally accepting of pain."
AbuIlyaas,Here is the previous answer Shaykh isam gave:   Rights of non-Muslims upon us.
AbuIlyaas,I still think a bag would be better. There are few things as satisfying as kicking a bag/pads.
AbuIlyaas,"No, I recently worked out how to use my scanner to convert a scanned page into text. So I'm basically just having fun with my &quot;new toy&quot; here."
AbuIlyaas,"Quote:     Originally Posted by  Prof   I ate some dates and found bugs in them afterwards. That made me feel sick.     Yeah, I once ate a pasty when I was a student and found a huge animal eyelid in it. I was proper heaving after that."
AbuIlyaas,For the last four hours or so I have been unable to access my IN account. Is this just me or is that part of the site being updated?
AbuIlyaas,.
AbuIlyaas,.
AbuIlyaas,"I assume that it is to do with this  hadeeth :     Quote:    It was narrated from Salamah ibn al-Akwa?(may Allaah be pleased with him) that the Prophet (peace and blessings of Allaah be upon him) said: 揈at some, give some to others and store some.?Narrated by al-Bukhaari."
AbuIlyaas,Quote:     Originally Posted by  Shajaa3ah   I read the answer to this somewhere so I am not going to reply.      Jazaakum Allaahu khairan .
AbuIlyaas,wa 'alaykum salam wa rahmatullah   This site has some exclusive content that addresses many of the topics you asked about  :   http://arabicgems.wordpress.com/
AbuIlyaas,"wa `alaikum Salaam,   I thought she was Qadiyani? I seem to remember reading where she referred to herself as an Ahmadi Muslim, but it could have been Ismaili. It'd involve paying a subscription fee to the independent to check my memory - and she  ain't  worth spending any money on.   Did anyone see her on the Channel 4 news around the time when that sister from Luton ( hafizhahaa Allaah ) had been expelled from school for wearing her  abayaa ? Yasmin was interviewed along with the lawyer of the sister. I was absolutely fuming :mad: listening to her speak.    She was essentially attacking the sister for wanting to observe the command of Allaah. And when the lawyer mentioned that the sister did so because she believed that the options that the school offereed were immodest.   AliBhai-Brown launched into this tirade, &quot;Immodest! Immodest! I mean can anyone look at me and describe what I am wearing as immodest? [she was wearing a dress with her neck upwards exposed]&quot;   Well Miss AliBhai-Whatever, in answer to your question I allude to a short three letter word that succinctly covers your query, it rhymes with 'yes' and it contains the letters 'Y', 'E' and 'S' in it."
AbuIlyaas,"Sas,  I'm getting that problem again where emails I send to GMail accounts (I tried to reply to your last email) from my IN account are returned with delivery failure.  Last time it happened you told me that you'd received it even though I got a failed delivery message."
AbuIlyaas,"wa `alaikum salam wa rahmatullah wa barakatuh,   There were some lengthy discussions last night about it and some criticisms were raised. I appreciate that many of you may have enjoyed it and so allow me to apologise to anyone who feels put out by this.  In the interest of us not returning to extended discussions, it may be better for me not to elucidate further. I hope you can accept this as an answer to &quot;why?&quot;, as I would be reluctant to respond to further enquiries.  If any brother wants a particular part that was relevant to them copied and sent to them then they can pm me and I'll oblige. I'm sure the female moderators would likewise be happy to, if a sister wanted her question and answer retrieved.  Sorry for any inconvenience caused."
AbuIlyaas,"Firstly, jazakum Allahu khayran, for fixing whatever it was that blocked my access to the site a couple of days ago.   Some problems I'm having:   The &quot;To:&quot; button in compose mail hasn't been working for me for some days now. It just never seems to redirect to the address book like it used to. I normally just give up waiting and hit &quot;address book&quot; to select who I'm sending to.  I also still can't send mail through Outlook Express from my IN account. I can receive mail through OE but if I want to send from my IN account, then I have to physically go to the site through a browser."
AbuIlyaas,I asked a male colleague and he gave these answers (I'm compiling it here for my own reference).  1. &quot;Sorry?&quot; 2. Toilet. 3. Napkin. 4. Lunch and Dinner. 5. Settee. 6. Living Room 7. Dessert.
AbuIlyaas,Quote:     Originally Posted by  AbuIlyaas   What does a man have to do to have his mistakes forgotten?      Continued here.
AbuIlyaas,Mitto tibi navem prora puppique carentem     Quote:     Originally Posted by  UmmAbdulMalikStorm   PS...'twas.      Errare Humanum Est
AbuIlyaas,"Quote:     Originally Posted by  Talib   Jazak Allaahu Khayran to both of you...  I think some excellent lectures are available on tape and if the quality is left in tact, should be recorded to CD.     wa iyyak,  I totally agree with you. There are so many beneficial lectures available only on cassette. With the emphasis on CD/MP3 a lot of shops have just discontinued these lectures, starting their catalogues again from scratch seeking better quality audio. So a lot of knowledge has invariably disappeared from circulation. Shame!"
AbuIlyaas,"Quote:     Originally Posted by  IbnMardhiyah      Your call bro but I think we should let people like these stay. Let them say what they want and be nice and civil with them, have an academic discussion with them and just counter their assertions, or present criticisms of their opinions / statements.     We tried that last time he was here. We were patient with his constant calling to Afghan nationalism, even when it stood glaring contradiction to Islam.  After numerous arguments between him and other users and it becoming clear that he was here purely to assert the superiority of the Afghan people over other races that has Allah created we opted to ban him.  I banned him again just now because he was banned before and to just change your username and then return with the same spiel will result in the same response.  If I thought that others here would debate him with the patience and manners that I'm sure you would then I'd leave him be, but past experience showed that his presence on the board was a moderatoring nightmare and it was much easier to manage with him removed from sight.  Others can feel free to convince me to un-ban him"
AbuIlyaas,"Someone educate me, what would be an Arabic equivalent of the word nerd?   Yeah, another  alif   laam   meem  thing is where someone extends the  kasrah  in alif into a long  yaa,  when they butcher an attempt at  tajweed:    aleef    laam   meem , doesn't it change the meaning to pet?"
AbuIlyaas,"Prof, your post baffled me. I was reading it asking myself, why would Prof write &quot;abvious&quot;? Surely, he'd have wrote the &quot;O&quot;? Maybe it was a mis-keying? No, the &quot;O&quot; and the &quot;A&quot; are very far apart!   And so I was trying to make excuses to myself for this un-Prof-like behaviour. Maybe he was in a hurry, the phone rang, or something distracted him.  Then  al-hamdu lillaah  I saw the URL and realised it was a cut and paste. I felt much better."
AbuIlyaas,"Quote:     Originally Posted by  Catalyst   one more question, for the sake of my father, is it accredited by Azhar?     I remembered today and so phoned my friend.   It is accredited by the American Open University for both its English and Arabic programmes. In addition, the Arabic program is accredited by The Yemeni University. Specifically about al-Azhar, he told me, &quot;No, but they are working on it.&quot;"
AbuIlyaas,"assalamu alaykum wa rahmatullahi wa barakatahu,  What is the strongest opinion of women making umrah with a group of pious sisters [over 10 sisters, travelling with some of the sisters' husbands and other non-mahram brothers], and without their own mahram?  I have heard that it is permissible because it is safer to travel now and that a group of pious sisters can act - so to speak- as the &quot;mahram&quot; of each other.  Jezak Allah khayr"
AbuIlyaas,"Yeah I saw that too, it looks like the bendy bit is only over the bridge of the nose though. I guess it's so you can fall asleep with them on without awaking to find some bizarre new shape."
AbuIlyaas,"al-salamu 'alaykum,  Does anyone have any Islamic or Islamically compliant short plays that we could have some primary school children enact for a school presentation?  I'm looking for existing plays/resources more than ideas for new ones but the latter would also be acceptable."
AbuIlyaas,"I'm using  Tube Sucker  now, I think I prefer it."
AbuIlyaas,"AsSalaamu alaikum,   I'm growing weary of the PC my Dad gave me, many years ago, crashing on me. There's no 'pentium inside', and the printer only works because I stuck a lump of blu-tac in a critical position to give it a couple more months of life.   Basically I'm thinking of starting from scratch.   I know next to nothing about computers so please try not to baffle me with too much specification info.   I'm asking what to get and where to get it (I live in London).   Does anywhere do interest free credit so that I could spread the payments out?   I mainly use it for word processing, but I'd like a scanner, printer, CD writer, DVD playable, a bluetooth connection so I can use my phone-photos, I would want windows, excel, a firewall, etc. I'm not sure on how much I'd be willing to spend, if I can spread the payments out, it'd be more - so I'm open to suggestions as to what sort of figure would give me what I needed.   Also, what word processors would anyone recommend where I can use both English and Arabic script. I currently use Corel Word Perfect 8 for my assignments, which is quite a labourious task with all the 'insert symbols' it takes.   Any advice?"
AbuIlyaas,"Quote:     Originally Posted by  dawah     Quote:    the most hated of what is Halaal: Talaq (Divorce)    This is nonsense.  While you should try and avoid divorce at all costs, there is nothing hated about it if one has to do it.  And there is nothing to hate in something which is halaal.     It's also most likely been included in the article because the writer may have come across a commonly cited hadith:  &quot;The most hated permissible act to Allah is divorce.&quot;  However this hadith is not authentic and neither is:  &quot;Marry and do not divorce, for verily divorce causes the Throne to shake.&quot;  I just thought to mention that as it is very common for people to have heard or repeat this statement."
AbuIlyaas,Someone also recently re-asked the question about a nose ring.  Shaykh Isam has answered this before on our forums in  this thread .
AbuIlyaas,"Quote:     Originally Posted by  Abu GG   Today I laughed cause I remembered the latest version of the movie  'Hitchhiker's Guide to The Galaxy'  when two kids were sent away for a  million years  whilst the Grand Computer worked out the  answer to the universe and all that exists , which at the end of it all (when the kids came back after a million years, now with grey hair) was.. get ready... 52.     It was 42. Then later on in the series they attempt to find out what is the question, which they later find out is &quot;What is 6 x 7?&quot;  The curious incident of the dog book is excellent and funny"
AbuIlyaas,"Quote:     Originally Posted by  Prof   What software do you use for OCR?     ScanSoft OmniPage SE, it came with the MP Navigator software on my printer/scanner."
AbuIlyaas,"Quote:     Originally Posted by  zeeshan   Dear Isaam,   Now a days in Pakistan there are a lot of banks (both Islamic and commercial)that are offereing a lot of options for car leasing and financing. I have had some discussions with people whom i thought should have the knowledge to guide me but i have got different opinions some say that it is OK as you are only buying the car on installments and others say that it is not allowed.  What is the actual ruling according to Islam along with all the conditions that needs to be fulfilled before we can practice it? Please give me the full details on this issue alongwith any links to other sites for additional knowledge of such type.     Shaykh Isam has previously answered questions on leasing in this thread:   http://talk.islamicnetwork.com/showthread.php?t=5767   If there is something that is still not clear after having read that reply, please start a new thread with your new question.    Quote:    (I posted a question last time as well about Istikhara but I got no reply or maybe i donot know where to find it so please give me your reply on my personal address which is  zeeshan.akhtar@yahoo.com )    Your previous reply can be found here:  http://talk.islamicnetwork.com/showthread.php?t=9755   Once a question has been answered it is moved over into the answered section. I am sorry but we are not offering a service for private communication with Shaykh Isam and so answers to questions are made publicly on this board."
AbuIlyaas,"Seeing as we are talking about forum rules, I've got a question regarding the privacy policy. I remember reading this ages ago when I first noticed this site.    It's from Sas's  anti-loling rule ,       Quote:     Originally Posted by  Sasjamal    .. as long as I know you have read this message, if the behavior continues, you will be banned. No warnings or anything.       I wanted to know how can you (mods/admin/MI5/FBI/Masons/Martians) tell if a forum member has read a partciular post or not?"
AbuIlyaas,.
AbuIlyaas,"Quote:     Originally Posted by  Prof   Masha'Allah, I need to use that.     I heard something similar in a Gary Miller lecture once, he said that some people refer to Muslims who only appear at Eid as 'Eidiots. Which isn't very polite but it did make me laugh.   Anyone know what happened to him, I really enjoyed some of his lectures?"
AbuIlyaas,&quot;No doubt I will be derided as a management lickspittle for daring to suggest that you and your working class heros are wrong ...&quot;    Some management lickspittle who copied me into one of his emails .
AbuIlyaas,"al-salamu 'alaykum ,   Despite outlining in the  Q&amp;A section rules  that answering questions in this section is restricted to Shaykh Isam, we are inundated with other users (both forum and unregistered) who attempt to answer or comment on the question themselves.   Therefore we have now set this section so that after a question has been asked the only people who can reply to the thread are the Shaykh, a moderator or the original questioner (only if they post as a registered forum member).   If anyone else tries to reply they will get an error message explaining they &quot;don't have permission to access this page.&quot;"
AbuIlyaas,"No it's liveable at the moment, so I'll just leave it insha' Allah.  But do you know how I change the language settings for Windows? Some of the PCs at work have Arabic Windows and some have English. It takes me forever to guess my way through a computer set in Arabic.  Is there a quick way to change a PC over into displaying commands/prompts in English?"
AbuIlyaas,I won't be bungee jumping but I'd recommend this day to any Londoners (or those prepared to travel to it)
AbuIlyaas,Quote:     Originally Posted by  Catalyst   * Islamic Psychology - Dr Rasjid  Skinner      A classic psychologist name!   I'm a little distracted at work so here's some optical illusions.
AbuIlyaas,.
AbuIlyaas,Asc wr wb   I wanted to ask if it is okay for a female muslim to pierce her nose is it bad or good?    If you already pierced it is okay to have it on your nose.  from a sister.
AbuIlyaas,"Quote:     Originally Posted by  IbnMardhiyah      Are you sure it was him?     As sure as I can be anyway. Even before Abu Anas had commented on the similarity between the two, I'd checked the admin panel to confirm they were posting from the same address."
AbuIlyaas,"What is/was mojis place? I kept seeing it written on things, like on the back of the prayer timetable that was handed out. I'd just figured that it was the name of a Kebab House in Leicester and hadn't paid it any attention.   I didn't listen to any of the lectures (I've only heard three in total over the many years I've gone). It's not a form of boycott, I just always seem to be doing other stuff.   I miss the atmosphere though; back to work today, got sworn at, spat at and threatened - deja vu."
AbuIlyaas,This attachment I was sent in an email this morning.
AbuIlyaas,"Quote:     Originally Posted by  Ibn El-Sheikh   It's really cool that you mentioned that hadith, Jazak Allahu Khayr because...I wasn't lying in my joke. I haven't seen the previously cited Chris Rock bit, and I thought it was quite creative and humourous on my part.     Sorry akhi, I wasn't insinuating that you were lying in any of your joking. I was actually wanting to remind myself and others about  :  Quote:    ... who avoids quarrelling even if he were in the right     As I was concerned that a thread that had made me laugh was about to descend into unproductive quarrelling. I probably should of used bold to prevent any misunderstanding. No offense was intended to either of you."
AbuIlyaas,Quote:     Originally Posted by  Catalyst    Islamic Educational Trust UK 86 Hampton Road-Forest Gate London E70NU Tel no. 0208-534-4574 Mob no. 0410407175      You've got me wondering now. The one I shopped at was on Upton Lane but it shut down with no explanation about four years ago. I wonder if it just moved to the address that you cited? Because it isn't that far from where it used to be.   They used to sell the Dar-us-Salam translation of Riyadh al-Saaliheen (2 vol) for ? and it retails about ?5.
AbuIlyaas,"Who is this Peter, is he  thiqah ?   Who has he studied with?   Who has given him  ijazah  to speak?   What should be our position to  al-Peteriyoon , should we warn against them, can we reply if they offer us  salaam ?   *insert smiley to indicate staunchness*"
AbuIlyaas,"As you notice your sins mounting up in number, you can start to despair over the heavy load that you are carrying with you into the Hereafter. It helps to remind ourselves of Allah's Mercy and with that in mind I thought to present a brief extract by Jamal al-Din Zarabozo on the topic:     10 ways in which Allah removes sins."
AbuIlyaas,Shaykh Isam has answered a similar question here:   http://talk.islamicnetwork.com/showthread.php?t=9462
AbuIlyaas,"Quote:     Originally Posted by  talib-fil-Islam   in terms of ur point br. abuIlyas, from my understanding, one of the prayers in one of the garments is not accepted b/c one of the garments is haram. that is why u would pray in both b/c we dont know which garment is the haram one.     Yeah, I understood this reasoning but my concern was that a person was intending to make a  fardh   salaah  twice. Shouldn't the prohibition take precedence over the doubt?   Looking at  salaah, there are two separate issues. The obligation to estabilsh it and the issue of whether it is accepted or not. Look at the case of the one whose  salaah  is not accepted for 40 days after a particular sin (can't remember which) has been committed, he still has to make the  salaah  despite it not being accepted. He still has to discharge the obligation to pray.   So how can, in our example, the individual pray twice with the intention to fulfil this obligation in the presence of a prohibition to repeat the  salaah ?   I'm just thinking aloud here. I'm sure the truth is with al-Shinqeetee and al-'Uthaimeen I'm just trying to grasp the details."
AbuIlyaas,"In addition to that over usage of sorry I picked up another form of misapplication, from my non-English wife. Her family appears to use &quot;Sorry&quot; as short for &quot;I feel sorry for you.&quot;  So for instance one might say, &quot;That man's dog just mauled my leg off!&quot; Where the reply would be &quot;Sorry&quot; despite having no ownership over said dog.  So I spent the first couple of years of married life regularly clarifying to various family members who'd say &quot;sorry&quot; after I'd say &quot;I'm tired&quot; or one of my children would fall over and hurt themselves, &quot;No need to apologise, it wasn't your fault.&quot;  I eventually gave up and joined in and now it's ingrained in me, to the extent that I apply it at work without even thinking and now people look at me bemused and ask, &quot;What you saying sorry for?&quot;"
AbuIlyaas,Another thing...  When you edit a post you can't 'preview' it like you could before. You have to save it and then edit again if need be.
AbuIlyaas,"Quote:     Originally Posted by  AbuMuqatil   5. Old teacher of hadeeth from Damascus that doesn't pray occasionally and doesn't have a beard - how?     Female, but I don't know any female  muhaditheen  by name."
AbuIlyaas,"Akhi, if you have concerns about JIMAS you should mail them directly and   politely   outline your points.    mail at jimas.org   To the best of my knowledge Abu Munatsir does not visit this site and posting you're concerns here will do little to change anything."
