text,author
calm so deep ! The river glideth at his own sweet will : Dear God,William Wordsworth
! the very houses seem asleep ; And all that mighty heart is lying still,William Wordsworth
"! I was thy neighbour once , thou rugged Pile ! Four summer weeks I",William Wordsworth
dwelt in sight of thee : I saw thee every day ; and all the,William Wordsworth
"while Thy Form was sleeping on a glassy sea . So pure the sky ,",William Wordsworth
"so quiet was the air ! So like , so very like , was day",William Wordsworth
"to day ! Whene'er I looked , thy Image still was there ; It trembled",William Wordsworth
", but it never passed away . How perfect was the calm ! it seemed",William Wordsworth
"no sleep ; No mood , which season takes away , or brings : I",William Wordsworth
could have fancied that the mighty Deep Was even the gentlest of all gentle things,William Wordsworth
". Ah ! then , if mine had been the Painter 's hand , To",William Wordsworth
"express what then I saw ; and add the gleam , The light that never",William Wordsworth
"was , on sea or land , The consecration , and the Poet 's dream",William Wordsworth
"; I would have planted thee , thou hoary Pile Amid a world how different",William Wordsworth
from this ! Beside a sea that could not cease to smile ; On tranquil,William Wordsworth
"land , beneath a sky of bliss . Thou shouldst have seemed a treasure-house divine",William Wordsworth
Of peaceful years ; a chronicle of heaven ; — Of all the sunbeams that,William Wordsworth
did ever shine The very sweetest had to thee been given . A Picture had,William Wordsworth
"it been of lasting ease , Elysian quiet , without toil or strife ; No",William Wordsworth
"motion but the moving tide , a breeze , Or merely silent Nature 's breathing",William Wordsworth
"life . Such , in the fond illusion of my heart , Such Picture would",William Wordsworth
I at that time have made : And seen the soul of truth in every,William Wordsworth
"part , A steadfast peace that might not be betrayed . So once it would",William Wordsworth
"have been , —'tis so no more ; I have submitted to a new control",William Wordsworth
": A power is gone , which nothing can restore ; A deep distress hath",William Wordsworth
humanised my Soul . Not for a moment could I now behold A smiling sea,William Wordsworth
", and be what I have been : The feeling of my loss will ne'er",William Wordsworth
"be old ; This , which I know , I speak with mind serene .",William Wordsworth
"Then , Beaumont , Friend ! who would have been the Friend , If he",William Wordsworth
"had lived , of Him whom I deplore , This work of thine I blame",William Wordsworth
"not , but commend ; This sea in anger , and that dismal shore .",William Wordsworth
"O 't is a passionate Work ! —yet wise and well , Well chosen is",William Wordsworth
"the spirit that is here ; That Hulk which labours in the deadly swell ,",William Wordsworth
"This rueful sky , this pageantry of fear ! And this huge Castle , standing",William Wordsworth
"here sublime , I love to see the look with which it braves , Cased",William Wordsworth
"in the unfeeling armour of old time , The lightning , the fierce wind ,",William Wordsworth
"the trampling waves . Farewell , farewell the heart that lives alone , Housed in",William Wordsworth
"a dream , at distance from the Kind ! Such happiness , wherever it be",William Wordsworth
"known , Is to be pitied ; for 't is surely blind . But welcome",William Wordsworth
"fortitude , and patient cheer , And frequent sights of what is to be borne",William Wordsworth
"! Such sights , or worse , as are before me here.— Not without hope",William Wordsworth
"we suffer and we mourn . When first , descending from the moorlands , I",William Wordsworth
"saw the Stream of Yarrow glide Along a bare and open valley , The Ettrick",William Wordsworth
"Shepherd was my guide . When last along its banks I wandered , Through groves",William Wordsworth
"that had begun to shed Their golden leaves upon the pathways , My steps the",William Wordsworth
"Border-minstrel led . The mighty Minstrel breathes no longer , 'Mid mouldering ruins low he",William Wordsworth
"lies ; And death upon the braes of Yarrow , Has closed the Shepherd-poet 's",William Wordsworth
"eyes : Nor has the rolling year twice measured , From sign to sign ,",William Wordsworth
"its stedfast course , Since every mortal power of Coleridge Was frozen at its marvellous",William Wordsworth
"source ; The rapt One , of the godlike forehead , The heaven-eyed creature sleeps",William Wordsworth
"in earth : And Lamb , the frolic and the gentle , Has vanished from",William Wordsworth
"his lonely hearth . Like clouds that rake the mountain-summits , Or waves that own",William Wordsworth
"no curbing hand , How fast has brother followed brother , From sunshine to the",William Wordsworth
"sunless land ! Yet I , whose lids from infant slumber Were earlier raised ,",William Wordsworth
"remain to hear A timid voice , that asks in whispers , '' Who next",William Wordsworth
"will drop and disappear ? '' Our haughty life is crowned with darkness , Like",William Wordsworth
"London with its own black wreath , On which with thee , O Crabbe !",William Wordsworth
"forth-looking , I gazed from Hampstead 's breezy heath . As if but yesterday departed",William Wordsworth
", Thou too art gone before ; but why , O'er ripe fruit , seasonably",William Wordsworth
"gathered , Should frail survivors heave a sigh ? Mourn rather for that holy Spirit",William Wordsworth
", Sweet as the spring , as ocean deep ; For Her who , ere",William Wordsworth
"her summer faded , Has sunk into a breathless sleep . No more of old",William Wordsworth
"romantic sorrows , For slaughtered Youth or love-lorn Maid ! With sharper grief is Yarrow",William Wordsworth
"smitten , And Ettrick mourns with her their Poet dead . Oh ! pleasant exercise",William Wordsworth
of hope and joy ! For mighty were the auxiliars which then stood Upon our,William Wordsworth
"side , we who were strong in love ! Bliss was it in that dawn",William Wordsworth
"to be alive , But to be young was very heaven ! —Oh ! times",William Wordsworth
", In which the meagre , stale , forbidding ways Of custom , law ,",William Wordsworth
"and statute , took at once The attraction of a country in romance ! When",William Wordsworth
"Reason seemed the most to assert her rights , When most intent on making of",William Wordsworth
herself A prime Enchantress—to assist the work Which then was going forward in her name,William Wordsworth
"! Not favoured spots alone , but the whole earth , The beauty wore of",William Wordsworth
"promise , that which sets ( As at some moment might not be unfelt Among",William Wordsworth
the bowers of paradise itself ) The budding rose above the rose full blown .,William Wordsworth
What temper at the prospect did not wake To happiness unthought of ? The inert,William Wordsworth
"Were roused , and lively natures rapt away ! They who had fed their childhood",William Wordsworth
"upon dreams , The playfellows of fancy , who had made All powers of swiftness",William Wordsworth
", subtilty , and strength Their ministers , —who in lordly wise had stirred Among",William Wordsworth
"the grandest objects of the sense , And dealt with whatsoever they found there As",William Wordsworth
"if they had within some lurking right To wield it ; —they , too ,",William Wordsworth
"who , of gentle mood , Had watched all gentle motions , and to these",William Wordsworth
"Had fitted their own thoughts , schemers more wild , And in the region of",William Wordsworth
"their peaceful selves ; — Now was it that both found , the meek and",William Wordsworth
"lofty Did both find , helpers to their heart 's desire , And stuff at",William Wordsworth
"hand , plastic as they could wish ; Were called upon to exercise their skill",William Wordsworth
", Not in Utopia , subterranean fields , Or some secreted island , Heaven knows",William Wordsworth
"where ! But in the very world , which is the world Of all of",William Wordsworth
"us , —the place where in the end We find our happiness , or not",William Wordsworth
at all ! Beneath these fruit-tree boughs that shed Their snow-white blossoms on my head,William Wordsworth
", With brightest sunshine round me spread Of spring 's unclouded weather , In this",William Wordsworth
sequestered nook how sweet To sit upon my orchard-seat ! And birds and flowers once,William Wordsworth
"more to greet , My last year 's friends together . One have I marked",William Wordsworth
", the happiest guest In all this covert of the blest : Hail to Thee",William Wordsworth
", far above the rest In joy of voice and pinion ! Thou , Linnet",William Wordsworth
"! in thy green array , Presiding Spirit here to-day , Dost lead the revels",William Wordsworth
"of the May ; And this is thy dominion . While birds , and butterflies",William Wordsworth
", and flowers , Make all one band of paramours , Thou , ranging up",William Wordsworth
"and down the bowers , Art sole in thy employment : A Life , a",William Wordsworth
"Presence like the Air , Scattering thy gladness without care , Too blest with any",William Wordsworth
one to pair ; Thyself thy own enjoyment . Amid yon tuft of hazel trees,William Wordsworth
", That twinkle to the gusty breeze , Behold him perched in ecstasies , Yet",William Wordsworth
seeming still to hover ; There ! where the flutter of his wings Upon his,William Wordsworth
"back and body flings Shadows and sunny glimmerings , That cover him all over .",William Wordsworth
"My dazzled sight he oft deceives , A brother of the dancing leaves ; Then",William Wordsworth
"flits , and from the cottage-eaves Pours forth his song in gushes ; As if",William Wordsworth
by that exulting strain He mocked and treated with disdain The voiceless Form he chose,William Wordsworth
"to feign , While fluttering in the bushes . I travelled among unknown men ,",William Wordsworth
"In lands beyond the sea ; Nor , England ! did I know till then",William Wordsworth
"What love I bore to thee . 'T is past , that melancholy dream !",William Wordsworth
Nor will I quit thy shore A second time ; for still I seem To,William Wordsworth
love thee more and more . Among thy mountains did I feel The joy of,William Wordsworth
my desire ; And she I cherished turned her wheel Beside an English fire .,William Wordsworth
"Thy mornings showed , thy nights concealed , The bowers where Lucy played ; And",William Wordsworth
thine too is the last green field That Lucy 's eyes surveyed . I wandered,William Wordsworth
"lonely as a cloud That floats on high o'er vales and hills , When all",William Wordsworth
"at once I saw a crowd , A host , of golden daffodils ; Beside",William Wordsworth
"the lake , beneath the trees , Fluttering and dancing in the breeze . Continuous",William Wordsworth
"as the stars that shine And twinkle on the milky way , They stretched in",William Wordsworth
never-ending line Along the margin of a bay : Ten thousand saw I at a,William Wordsworth
"glance , Tossing their heads in sprightly dance . The waves beside them danced ;",William Wordsworth
but they Out-did the sparkling waves in glee : A poet could not but be,William Wordsworth
"gay , In such a jocund company : I gazed—and gazed—but little thought What wealth",William Wordsworth
"the show to me had brought : For oft , when on my couch I",William Wordsworth
"lie In vacant or in pensive mood , They flash upon that inward eye Which",William Wordsworth
"is the bliss of solitude ; And then my heart with pleasure fills , And",William Wordsworth
"dances with the daffodils . Wisdom and Spirit of the universe ! Thou Soul ,",William Wordsworth
that art the Eternity of thought ! And giv'st to forms and images a breath,William Wordsworth
"And everlasting motion ! not in vain , By day or star-light , thus from",William Wordsworth
my first dawn Of childhood didst thou intertwine for me The passions that build up,William Wordsworth
our human soul ; Not with the mean and vulgar works of Man ; But,William Wordsworth
"with high objects , with enduring things , With life and nature ; purifying thus",William Wordsworth
"The elements of feeling and of thought , And sanctifying by such discipline Both pain",William Wordsworth
"and fear , —until we recognise A grandeur in the beatings of the heart .",William Wordsworth
"Nor was this fellowship vouchsafed to me With stinted kindness . In November days ,",William Wordsworth
When vapours rolling down the valleys made A lonely scene more lonesome ; among woods,William Wordsworth
"At noon ; and 'mid the calm of summer nights , When , by the",William Wordsworth
"margin of the trembling lake , Beneath the gloomy hills , homeward I went In",William Wordsworth
"solitude , such intercourse was mine : Mine was it in the fields both day",William Wordsworth
"and night , And by the waters , all the summer long . And in",William Wordsworth
"the frosty season , when the sun Was set , and , visible for many",William Wordsworth
"a mile , The cottage-windows through the twilight blazed , I heeded not the summons",William Wordsworth
: happy time It was indeed for all of us ; for me It was,William Wordsworth
"a time of rapture ! Clear and loud The village-clock tolled six—I wheeled about ,",William Wordsworth
Proud and exulting like an untired horse That cares not for his home.—All shod with,William Wordsworth
"steel We hissed along the polished ice , in games Confederate , imitative of the",William Wordsworth
"chase And woodland pleasures , —the resounding horn , The pack loud-chiming , and the",William Wordsworth
"hunted hare . So through the darkness and the cold we flew , And not",William Wordsworth
"a voice was idle ; with the din Smitten , the precipices rang aloud ;",William Wordsworth
The leafless trees and every icy crag Tinkled like iron ; while far-distant hills Into,William Wordsworth
"the tumult sent an alien sound Of melancholy , not unnoticed while the stars ,",William Wordsworth
"Eastward , were sparkling clear , and in the west The orange sky of evening",William Wordsworth
"died away . Not seldom from the uproar I retired Into a silent bay ,",William Wordsworth
"or sportively Glanced sideway , leaving the tumultuous throng , To cut across the reflex",William Wordsworth
"of a star ; Image , that , flying still before me , gleamed Upon",William Wordsworth
"the glassy plain : and oftentimes , When we had given our bodies to the",William Wordsworth
"wind , And all the shadowy banks on either side Came sweeping through the darkness",William Wordsworth
", spinning still The rapid line of motion , then at once Have I ,",William Wordsworth
"reclining back upon my heels , Stopped short ; yet still the solitary cliffs Wheeled",William Wordsworth
by me—even as if the earth had rolled With visible motion her diurnal round !,William Wordsworth
"Behind me did they stretch in solemn train , Feebler and feebler , and I",William Wordsworth
stood and watched Till all was tranquil as a summer sea . Tax not the,William Wordsworth
"royal Saint with vain expense , With ill-matched aims the Architect who planned— Albeit labouring",William Wordsworth
for a scanty band Of white-robed Scholars only—this immense And glorious Work of fine intelligence,William Wordsworth
! Give all thou canst ; high Heaven rejects the lore Of nicely-calculated less or,William Wordsworth
"more ; So deemed the man who fashioned for the sense These lofty pillars ,",William Wordsworth
"spread that branching roof Self-poised , and scooped into ten thousand cells , Where light",William Wordsworth
"and shade repose , where music dwells Lingering—and wandering on as loth to die ;",William Wordsworth
Like thoughts whose very sweetness yieldeth proof That they were born for immortality . It,William Wordsworth
"is a beauteous evening , calm and free , The holy time is quiet as",William Wordsworth
a Nun Breathless with adoration ; the broad sun Is sinking down in its tranquility,William Wordsworth
; The gentleness of heaven broods o'er the Sea ; Listen ! the mighty Being,William Wordsworth
"is awake , And doth with his eternal motion make A sound like thunder—everlastingly .",William Wordsworth
"Dear child ! dear Girl ! that walkest with me here , If thou appear",William Wordsworth
"untouched by solemn thought , Thy nature is not therefore less divine : Thou liest",William Wordsworth
in Abraham 's bosom all the year ; And worshipp'st at the Temple 's inner,William Wordsworth
"shrine , God being with thee when we know it not . It is not",William Wordsworth
"to be thought of that the Flood Of British freedom , which , to the",William Wordsworth
"open sea Of the world 's praise , from dark antiquity Hath flowed , ``",William Wordsworth
"with pomp of waters , unwithstood , '' Roused though it be full often to",William Wordsworth
"a mood Which spurns the check of salutary bands , That this most famous Stream",William Wordsworth
in bogs and sands Should perish ; and to evil and to good Be lost,William Wordsworth
for ever . In our halls is hung Armoury of the invincible Knights of old,William Wordsworth
": We must be free or die , who speak the tongue That Shakespeare spake",William Wordsworth
; the faith and morals hold Which Milton held.—In every thing we are sprung Of,William Wordsworth
"Earth 's first blood , have titles manifold . `` With sacrifice before the rising",William Wordsworth
morn Vows have I made by fruitless hope inspired ; And from the infernal Gods,William Wordsworth
", 'mid shades forlorn Of night , my slaughtered Lord have I required : Celestial",William Wordsworth
"pity I again implore ; — Restore him to my sight—great Jove , restore !",William Wordsworth
"'' So speaking , and by fervent love endowed With faith , the Suppliant heavenward",William Wordsworth
"lifts her hands ; While , like the sun emerging from a cloud , Her",William Wordsworth
"countenance brightens—and her eye expands ; Her bosom heaves and spreads , her stature grows",William Wordsworth
; As she expects the issue in repose . O terror ! what hath she,William Wordsworth
perceived ? —O joy ! What doth she look on ? —whom doth she behold,William Wordsworth
? Her Hero slain upon the beach of Troy ? His vital presence ? his,William Wordsworth
corporeal mould ? It is—if sense deceive her not—'tis He ! And a God leads,William Wordsworth
"him , wingèd Mercury ! Mild Hermes spake—and touched her with his wand That calms",William Wordsworth
"all fear ; `` Such grace hath crowned thy prayer , Laodamía ! that at",William Wordsworth
Jove 's command Thy husband walks the paths of upper air : He comes to,William Wordsworth
"tarry with thee three hours ' space ; Accept the gift , behold him face",William Wordsworth
to face ! '' Forth sprang the impassioned Queen her Lord to clasp ; Again,William Wordsworth
that consummation she essayed ; But unsubstantial Form eludes her grasp As often as that,William Wordsworth
"eager grasp was made . The Phantom parts—but parts to re-unite , And re-assume his",William Wordsworth
"place before her sight . `` Protesiláus , lo ! thy guide is gone !",William Wordsworth
"Confirm , I pray , the vision with thy voice : This is our palace",William Wordsworth
", —yonder is thy throne ; Speak , and the floor thou tread'st on will",William Wordsworth
rejoice . Not to appal me have the gods bestowed This precious boon ; and,William Wordsworth
"blest a sad abode . '' `` Great Jove , Laodamía ! doth not leave",William Wordsworth
"His gifts imperfect : —Spectre though I be , I am not sent to scare",William Wordsworth
thee or deceive ; But in reward of thy fidelity . And something also did,William Wordsworth
"my worth obtain ; For fearless virtue bringeth boundless gain . `` Thou knowest ,",William Wordsworth
the Delphic oracle foretold That the first Greek who touched the Trojan strand Should die,William Wordsworth
; but me the threat could not withhold : A generous cause a victim did,William Wordsworth
demand ; And forth I leapt upon the sandy plain ; A self-devoted chief—by Hector,William Wordsworth
"slain . '' `` Supreme of Heroes—bravest , noblest , best ! Thy matchless courage",William Wordsworth
"I bewail no more , Which then , when tens of thousands were deprest By",William Wordsworth
"doubt , propelled thee to the fatal shore ; Thou found'st—and I forgive thee—here thou",William Wordsworth
"art— A nobler counsellor than my poor heart . `` But thou , though capable",William Wordsworth
"of sternest deed , Wert kind as resolute , and good as brave ; And",William Wordsworth
"he , whose power restores thee , hath decreed Thou should'st elude the malice of",William Wordsworth
"the grave : Redundant are thy locks , thy lips as fair As when their",William Wordsworth
"breath enriched Thessalian air . `` No spectre greets me , —no vain Shadow this",William Wordsworth
"; Come , blooming Hero , place thee by my side ! Give , on",William Wordsworth
"this well-known couch , one nuptial kiss To me , this day a second time",William Wordsworth
thy bride ! '' Jove frowned in heaven : the conscious Parcæ threw Upon those,William Wordsworth
roseate lips a Stygian hue . `` This visage tells thee that my doom is,William Wordsworth
"past : Nor should the change be mourned , even if the joys Of sense",William Wordsworth
were able to return as fast And surely as they vanish . Earth destroys Those,William Wordsworth
"raptures duly—-Erebus disdains : Calm pleasures there abide—majestic pains . `` Be taught , O",William Wordsworth
"faithful Consort , to control Rebellious passion : for the Gods approve The depth ,",William Wordsworth
"and not the tumult , of the soul ; A fervent , not ungovernable love",William Wordsworth
". Thy transports moderate ; and meekly mourn When I depart , for brief is",William Wordsworth
my sojourn— '' '' Ah wherefore ? —Did not Hercules by force Wrest from the,William Wordsworth
"guardian monster of the tomb Alcestis , a reanimated corse , Given back to dwell",William Wordsworth
"on earth in vernal bloom ? Medea 's spells dispersed the weight of years ,",William Wordsworth
And Æson stood a youth 'mid youthful peers . `` The Gods to us are,William Wordsworth
merciful—and they Yet further may relent : for mightier far Than strength of nerve and,William Wordsworth
"sinew , or the sway Of magic potent over sun and star , Is love",William Wordsworth
", though oft to agony distrest , And though his favourite seat be feeble woman",William Wordsworth
"'s breast . `` But if thou goest , I follow— '' `` Peace !",William Wordsworth
"'' he said , — She looked upon him and was calmed and cheered ;",William Wordsworth
"The ghastly colour from his lips had fled ; In his deportment , shape ,",William Wordsworth
"and mien , appeared Elysian beauty , melancholy grace , Brought from a pensive though",William Wordsworth
"a happy place . He spake of love , such love as Spirits feel In",William Wordsworth
worlds whose course is equable and pure ; No fears to beat away—no strife to,William Wordsworth
"heal— The past unsighed for , and the future sure ; Spake of heroic arts",William Wordsworth
"in graver mood Revived , with finer harmony pursued ; Of all that is most",William Wordsworth
"beauteous—imaged there In happier beauty ; more pellucid streams , An ampler ether , a",William Wordsworth
"diviner air , And fields invested with purpureal gleams ; Climes which the sun ,",William Wordsworth
"who sheds the brightest day Earth knows , is all unworthy to survey . Yet",William Wordsworth
"there the Soul shall enter which hath earned That privilege by virtue.— '' Ill ,",William Wordsworth
"'' said he , '' The end of man 's existence I discerned , Who",William Wordsworth
"from ignoble games and revelry Could draw , when we had parted , vain delight",William Wordsworth
", While tears were thy best pastime , day and night ; '' And while",William Wordsworth
my youthful peers before my eyes ( Each hero following his peculiar bent ) Prepared,William Wordsworth
"themselves for glorious enterprise By martial sports , —or , seated in the tent ,",William Wordsworth
Chieftains and kings in council were detained ; What time the fleet at Aulis lay,William Wordsworth
"enchained . `` The wished-for wind was given : —I then revolved The oracle ,",William Wordsworth
"upon the silent sea ; And , if no worthier led the way , resolved",William Wordsworth
"That , of a thousand vessels , mine should be The foremost prow in pressing",William Wordsworth
"to the strand , — Mine the first blood that tinged the Trojan sand .",William Wordsworth
"`` Yet bitter , oft-times bitter , was the pang When of thy loss I",William Wordsworth
"thought , belovèd Wife ! On thee too fondly did my memory hang , And",William Wordsworth
"on the joys we shared in mortal life , — The paths which we had",William Wordsworth
"trod—these fountains , flowers : My new-planned cities , and unfinished towers . `` But",William Wordsworth
"should suspense permit the Foe to cry , 'Behold they tremble ! —haughty their array",William Wordsworth
", Yet of their numbers no one dares to die ? ' In soul I",William Wordsworth
"swept the indignity away : Old frailties then recurred : —but lofty thought , In",William Wordsworth
"act embodied , my deliverance wrought . `` And Thou , though strong in love",William Wordsworth
", art all too weak In reason , in self-government too slow ; I counsel",William Wordsworth
thee by fortitude to seek Our blest re-union in the shades below . The invisible,William Wordsworth
world with thee hath sympathised ; Be thy affections raised and solemnised . `` Learn,William Wordsworth
", by a mortal yearning , to ascend— Seeking a higher object . Love was",William Wordsworth
"given , Encouraged , sanctioned , chiefly for that end ; For this the passion",William Wordsworth
to excess was driven— That self might be annulled : her bondage prove The fetters,William Wordsworth
of a dream opposed to love.— Aloud she shrieked ! for Hermes re-appears ! Round,William Wordsworth
the dear Shade she would have clung—'tis vain : The hours are past—too brief had,William Wordsworth
"they been years ; And him no mortal effort can detain : Swift , toward",William Wordsworth
"the realms that know not earthly day , He through the portal takes his silent",William Wordsworth
"way , And on the palace-floor a lifeless corse She lay . Thus , all",William Wordsworth
"in vain exhorted and reproved , She perished ; and , as for a wilful",William Wordsworth
"crime , By the just Gods whom no weak pity moved , Was doomed to",William Wordsworth
"wear out her appointed time , Apart from happy Ghosts , that gather flowers Of",William Wordsworth
blissful quiet 'mid unfading bowers . —Yet tears to human suffering are due ; And,William Wordsworth
"mortal hopes defeated and o'erthrown Are mourned by man , and not by man alone",William Wordsworth
", As fondly he believes.—Upon the side Of Hellespont ( such faith was entertained )",William Wordsworth
A knot of spiry trees for ages grew From out the tomb of him for,William Wordsworth
"whom she died ; And ever , when such stature they had gained That Ilium",William Wordsworth
"'s walls were subject to their view , The trees ' tall summits withered at",William Wordsworth
the sight ; A constant interchange of growth and blight ! Five years have past,William Wordsworth
"; five summers , with the length Of five long winters ! and again I",William Wordsworth
"hear These waters , rolling from their mountain-springs With a soft inland murmur.—Once again Do",William Wordsworth
"I behold these steep and lofty cliffs , That on a wild secluded scene impress",William Wordsworth
Thoughts of more deep seclusion ; and connect The landscape with the quiet of the,William Wordsworth
"sky . The day is come when I again repose Here , under this dark",William Wordsworth
"sycamore , and view These plots of cottage-ground , these orchard-tufts , Which at this",William Wordsworth
"season , with their unripe fruits , Are clad in one green hue , and",William Wordsworth
"lose themselves 'Mid groves and copses . Once again I see These hedge-rows , hardly",William Wordsworth
"hedge-rows , little lines Of sportive wood run wild : these pastoral farms , Green",William Wordsworth
"to the very door ; and wreaths of smoke Sent up , in silence ,",William Wordsworth
"from among the trees ! With some uncertain notice , as might seem Of vagrant",William Wordsworth
"dwellers in the houseless woods , Or of some Hermit 's cave , where by",William Wordsworth
"his fire The Hermit sits alone . These beauteous forms , Through a long absence",William Wordsworth
", have not been to me As is a landscape to a blind man 's",William Wordsworth
"eye : But oft , in lonely rooms , and 'mid the din Of towns",William Wordsworth
"and cities , I have owed to them , In hours of weariness , sensations",William Wordsworth
"sweet , Felt in the blood , and felt along the heart ; And passing",William Wordsworth
even into my purer mind With tranquil restoration : —feelings too Of unremembered pleasure :,William Wordsworth
"such , perhaps , As have no slight or trivial influence On that best portion",William Wordsworth
"of a good man 's life , His little , nameless , unremembered , acts",William Wordsworth
"Of kindness and of love . Nor less , I trust , To them I",William Wordsworth
"may have owed another gift , Of aspect more sublime ; that blessed mood ,",William Wordsworth
"In which the burthen of the mystery , In which the heavy and the weary",William Wordsworth
"weight Of all this unintelligible world , Is lightened : —that serene and blessed mood",William Wordsworth
", In which the affections gently lead us on , — Until , the breath",William Wordsworth
"of this corporeal frame And even the motion of our human blood Almost suspended ,",William Wordsworth
"we are laid asleep In body , and become a living soul : While with",William Wordsworth
"an eye made quiet by the power Of harmony , and the deep power of",William Wordsworth
"joy , We see into the life of things . If this Be but a",William Wordsworth
"vain belief , yet , oh ! how oft— In darkness and amid the many",William Wordsworth
"shapes Of joyless daylight ; when the fretful stir Unprofitable , and the fever of",William Wordsworth
"the world , Have hung upon the beatings of my heart— How oft , in",William Wordsworth
"spirit , have I turned to thee , O sylvan Wye ! thou wanderer thro",William Wordsworth
"' the woods , How often has my spirit turned to thee ! And now",William Wordsworth
", with gleams of half-extinguished thought , With many recognitions dim and faint , And",William Wordsworth
"somewhat of a sad perplexity , The picture of the mind revives again : While",William Wordsworth
"here I stand , not only with the sense Of present pleasure , but with",William Wordsworth
